index,cameraName,cameraIndexCode,gbIndexCode,channelNo,hlsUrl
146,C座自营栋2,dffb7cb4248c43db9300c6e58e9a9f58,42011101581314000269,7,http://111.4.138.205:18080/hls/dffb7cb4248c43db9300c6e58e9a9f58/index.m3u8
147,水泵房,c7b2b067448147ca940dae00758c7129,42011101581314000268,8,http://111.4.138.205:18080/hls/c7b2b067448147ca940dae00758c7129/index.m3u8
148,A7一楼大厅,0be2858a6d5f40d283e91312c601b60c,42011101581314000267,40,http://111.4.138.205:18080/hls/0be2858a6d5f40d283e91312c601b60c/index.m3u8
149,D2西,b66f584e94644047a9856a8594f60741,42011101581314000266,41,http://111.4.138.205:18080/hls/b66f584e94644047a9856a8594f60741/index.m3u8
150,物业办公室,715502326c5d4a57b087835f99be1edf,42011101581314000265,42,http://111.4.138.205:18080/hls/715502326c5d4a57b087835f99be1edf/index.m3u8
151,一栋大厅客流,b4545db0522f428986fc4487644d65ad,42011101581314000263,1,http://111.4.138.205:18080/hls/b4545db0522f428986fc4487644d65ad/index.m3u8
152,展厅客流,09d998bd37114f268c02c5e238c5dd61,42011101581314000262,5,http://111.4.138.205:18080/hls/09d998bd37114f268c02c5e238c5dd61/index.m3u8
153,二号大门客流,11c7dbda9b1840ce97fc7c64977402f7,42011101581314000261,9,http://111.4.138.205:18080/hls/11c7dbda9b1840ce97fc7c64977402f7/index.m3u8
154,南门客流右,49d49d15d1e2451db086eb42bc2be40d,42011101581314000260,11,http://111.4.138.205:18080/hls/49d49d15d1e2451db086eb42bc2be40d/index.m3u8
155,南门客流左,e9bdf64462a44b0c870cc36c44d8caf6,42011101581314000259,12,http://111.4.138.205:18080/hls/e9bdf64462a44b0c870cc36c44d8caf6/index.m3u8
156,食堂一楼左门客流,4c8d57e6bad44302bb869546787a5784,42011101581314000250,3,http://111.4.138.205:18080/hls/4c8d57e6bad44302bb869546787a5784/index.m3u8
157,3号岗厅客流,6c7b885581a9404593b08f10f2b75472,42011101581314000249,8,http://111.4.138.205:18080/hls/6c7b885581a9404593b08f10f2b75472/index.m3u8
158,消控室,b62fb4d8d9494e1e90adf2a5a0ef4d95,42011101581314000248,10,http://111.4.138.205:18080/hls/b62fb4d8d9494e1e90adf2a5a0ef4d95/index.m3u8
